pair_id,class,risk,size,task_ref,base_fingerprint,order,status
P01,mechanical,low,small,,,,pending-selection
P02,mechanical,low,small,,,,pending-selection
P03,mechanical,medium,small,,,,pending-selection
P04,mechanical,low,medium,,,,pending-selection
P05,mechanical,medium,medium,,,,pending-selection
P06,mechanical,low,small,,,,pending-selection
P07,patterned,low,small,,,,pending-selection
P08,patterned,medium,small,,,,pending-selection
P09,patterned,low,medium,,,,pending-selection
P10,patterned,medium,medium,,,,pending-selection
P11,patterned,high,medium,,,,pending-selection
P12,patterned,medium,large,,,,pending-selection
P13,patterned,low,large,,,,pending-selection
P14,patterned,high,large,,,,pending-selection
P15,open,medium,small,,,,pending-selection
P16,open,high,small,,,,pending-selection
P17,open,medium,medium,,,,pending-selection
P18,open,high,medium,,,,pending-selection
P19,open,medium,large,,,,pending-selection
P20,open,high,large,,,,pending-selection
